original,paraphrased
Danmark kan ikke leve af gæld.,Danmark kan ikke overleve ved konstant at låne penge.
Efter et regeringsskifte vil den økonomiske politik bygge på et meget klart forsigtighedsprincip.,"Sker der et skift i regeringen, vil den nye økonomiske politik grundlæggende være baseret på en omhyggelig forsigtighed."
"Vi vil oprette et agentur mod falske nyheder, der udarbejder modsvar og korrigerer falske nyhedshistorier i Danmark.","Vi vil danne en organisation til bekæmpelse af fake news, som vil udvikle svar og rette op på urigtige nyheder i Danmark."
"Lige netop sygeskatten kunne have været et udspil, som LO og DA kunne have brugt selv til at få forhandlingerne på gled igen - alt i alt et indgreb og en lovgivning, der er tydeligt præget af at være udarbejdet af politikere fra Overdanmark med funktionærverdenen som eneste erfaringsgrundlag og uden særlig meget viden om, hvor skoen trykker.","Sygeskatten kunne have været noget, som LO og DA kunne have brugt til selv at sætte gang i forhandlingerne igen - i sidste ende en politisk handling og lovgivning, der tydeligvis er skabt af politikere fra den bedre del af samfundet, kun baseret på erfaringer fra administrativt arbejde og med begrænset indsigt i de konkrete problemer."
"HK, har ønsket at få kønsopdelt lønstatistik.",HK har udtrykt ønske om statistikker over lønninger opdelt efter køn.
"Så jeg synes, det er ret svært, når man skal igennem de her ting, og jeg synes heller ikke, vi kan være bekendt, at noget, der er så vigtigt som forbrugernes sikkerhed, når det gælder medicin, skal puttes ind sammen med en hel masse andre ting.","Det er meget svært at håndtere disse problemstillinger, og jeg finder det også uacceptabelt, at forbrugernes medicinsikkerhed skal blandes sammen med en række andre mindre relevante sager."
Grænseoverskridende problemer må løses gennem et grænseoverskridende samarbejde.,"Problemer, der går på tværs af landegrænser, skal adresseres gennem internationalt samarbejde."
Forskellen mellem virkningerne på beskæftigelse og arbejdsløshed ligger i den øgede uddannelsesindsats.,Forskellen i påvirkningen af beskæftigelse og arbejdsløshed skyldes den forstærkede indsats i uddannelse.
"Det er sådan, at jeg lige har været inde at tjekke min ordførertale, så jeg ikke skulle få samme svada fra hr.","Jeg har lige sikret mig, at jeg har tjekket min taler for at undgå at blive mødt med den samme monolog fra hr. [person]."
"Det ene er at give borgerne mulighed for frit at kunne rejse rundt i Europa, så de f.eks. ikke skal stå i lange køer, når de skal på ferie nede sydpå.","Det handler om at give borgerne frihed til at rejse rundt i Europa uden at opleve lange ventetider, for eksempel ved grænsekontroller på ferier i syden."
"Derfor har vi også i den seneste folketingsperiode givet forsvaret det substantielle løft, som vi lovede, at der ville komme.","Derfor har vi i den seneste valgperiode givet militæret den betydelige forstærkning, vi lovede ville finde sted."
"Dansk Folkeparti har her fremsat et beslutningsforslag, der pålægger regeringen at arbejde for en ændring af reglerne for EF-Domstolens arbejde, og så vidt jeg ved, skal det drøftes den 13. marts.","Dansk Folkeparti har stillet et forslag, som forpligter regeringen til at arbejde for ændrede regler vedrørende EU-Domstolens funktion, og dette skal efter planen diskuteres den 13. marts."
Vi skal være bedre til at få nye idéer omsat til produktion.,Vi skal blive bedre til at transformere nye ideer til faktisk produktion.
"Vi har selvfølgelig noteret os, at der ikke er flertal for vores forslag.","Vi har selvfølgelig bemærket, at der ikke er opbakning til vores forslag."
Ved at starte en forbudsprocedure med udgangspunkt i listen over uønskede stoffer og de hormonforstyrrende kategori 1-stoffer i kosmetik tages et vigtigt skridt i den rigtige retning.,Det er et væsentligt skridt i den rigtige retning at indlede en forbudsproces baseret på listen over bannede stoffer og hormonforstyrrende stoffer i kategori 1 i kosmetiske produkter.
Mænd og kvinder og i øvrigt alle andre grupper skal have lige muligheder for at udfylde deres personlige potentiale.,"Mænd og kvinder, samt alle andre, skal have lige adgang til at realisere deres personlige potentiale."
Undervejs har vi truffet hårde beslutninger.,Undervejs har vi truffet nogle vanskelige valg.
"Regeringen magtede ikke at fortsætte en politik, som kunne forbedre erhvervslivets forhold.","Regeringen havde ikke styrken til at fortsætte med en politik, der kunne forbedre vilkårene for erhvervslivet."
"Derfor undrer det mig, at der er så meget tvivl, og at man kan tro, at vi vil tage 20 pct. af de unge mennesker ind i den her ordning.","Derfor undrer det mig, at der er så stor usikkerhed, og at nogen tror, vi vil inkludere 20 % af de unge i denne ordning."
"Så det går da trods alt, også i forhold til tallene fra sidste år, den rigtige vej.","Så på trods af alt tyder det i forhold til sidste års tal på, at vi er på rette vej."
