text,label
Danmark kan ikke leve af gæld.,1
Efter et regeringsskifte vil den økonomiske politik bygge på et meget klart forsigtighedsprincip.,1
"Vi vil oprette et agentur mod falske nyheder, der udarbejder modsvar og korrigerer falske nyhedshistorier i Danmark.",1
"Lige netop  sygeskatten kunne have været et udspil, som LO og DA kunne  have brugt selv til at få forhandlingerne på gled igen - alt  i alt et indgreb og en lovgivning, der er tydeligt præget af  at være udarbejdet af politikere fra Overdanmark med  funktionærverdenen som eneste erfaringsgrundlag og uden  særlig meget viden om, hvor skoen trykker.",0
"HK, har ønsket at få kønsopdelt  lønstatistik.",0
"Så jeg synes, det er ret svært, når man skal igennem de her ting, og jeg synes heller ikke, vi kan være bekendt, at noget, der er så vigtigt som forbrugernes sikkerhed, når det gælder medicin, skal puttes ind sammen med en hel masse andre ting.",1
Grænseoverskridende problemer må løses gennem et grænseoverskridende samarbejde.,1
Forskellen mellem virkningerne på beskæftigelse og arbejdsløshed ligger i den øgede uddannelsesindsats.,0
"Det er sådan, at jeg lige har været inde at tjekke min ordførertale, så jeg ikke skulle få samme svada fra hr.",0
"Det ene er at give borgerne mulighed for frit at kunne rejse rundt i Europa, så de f.eks. ikke skal stå i lange køer, når de skal på ferie nede sydpå.",1
"Derfor har vi også i den seneste folketingsperiode givet forsvaret det substantielle løft, som vi lovede, at der ville komme.",0
"Dansk Folkeparti har her fremsat et beslutningsforslag, der pålægger regeringen at arbejde for en ændring af reglerne for EF-Domstolens arbejde, og så vidt jeg ved, skal det drøftes den 13. marts.",0
Vi skal være bedre til at få nye idéer omsat til produktion.,1
"Vi har selvfølgelig noteret os, at der ikke er flertal for vores forslag.",0
Ved at starte en forbudsprocedure med udgangspunkt i listen over uønskede stoffer og de hormonforstyrrende kategori 1-stoffer i kosmetik tages et vigtigt skridt i den rigtige retning.,1
Mænd og kvinder og i øvrigt alle andre grupper skal have lige muligheder for at udfylde deres personlige potentiale.,1
Undervejs har vi truffet hårde beslutninger.,0
"Regeringen magtede ikke at fortsætte en politik, som kunne forbedre erhvervslivets forhold.",1
"Derfor undrer det mig, at der er så meget tvivl, og at man kan tro, at vi vil tage 20 pct. af de unge mennesker ind i den her ordning.",0
"Så det går da trods alt, også i forhold til tallene fra sidste år, den rigtige vej.",0
"I stedet for burde man gå en anden vej – nemlig den vej, vi fra Enhedslistens side ønsker at gå.",1
