,text,label
0,Er det ikke noget med at fly kun må starte og lande fra baner der ligger i computeren?,neutral
1,Der er så mange flere grunde til at #ståafiroskilde frem for Høje-Tå #sigerdetbare,neutral
2,"Det selvfølgelig en anden side.. Der kører jeg ikke nok med dem til at kunne udtale mig. Det må dog uden lige, stadigt være et overkommeligt problem at kunne løse.. Hvis viljen er der fra DSB..",neutral
3,"Lad os snart få en #skattereform 😁😁 en reform der sætter topskatten markant op, og selskabsskatten ligeså! #dkpol Så kører det ✌️",negative
4,"Det altså lidt vildt det her!

Schweizisk højrefløjspolitiker begrunder valgnederlag i at de “druknede i en grøn bølge”!

En “bølge” der opstod efter @USER’s tale i Davos.

Ringe i vandet folkens.
Noget er sgu i gære!

#GrøntValg
#dkpol #dkgreen
[LINK]",positive
5,"RT @USER: Højesteret reddede Lual Lual fra forvaring - nu er han sigtet for tre drab

[LINK]",neutral
6,"#CentraliseringNejTak #DKPOL
Pinligt at lytte til VLAK+ DF
De har ikke styr på noget, ikke engang hvor mange ansatte der er i sundhedsvæsnet. Hvis man har udsultet regionerne i årevis, nu tilfører midler, som skal gå til nyt central Akut 113 og nyt IT system, virkelig borgernær",negative
7,Danbolig dropper samarbejde med 15 butikker efter afsløring af kritisable metoder,neutral
8,Kan se Sofie er stedfortrædende leder. Er det fordi Morten er ude at svømme. 😉,positive
9,"Som kandidat er man fri til at fokusere på hvad end man lyster.

Men mindre mudderkastning ville måske efterlade et mere troværdigt indtryk.

Eller bare 1 (en) hjertesag.

Medmindre man naturligvis ikke har nogen - så er det altid lettere at bashe andre 🤪😉",negative
10,"Der er helligdag, Det gør hun selvfølgelig i morgen. Men som sagt, det er ikke første gang.",negative
11,jaaa det er dejligt! men får jo kun bogodt fra folk hvis du slå det til ved hver enkelte person,positive
12,Ikke ombestemt ... Fundet en billigere løsning - omfartsvejen kommer stadig - bare kun til 80 mio kr. Det er stadig for 80 mio kr tåbeligheder,negative
13,"Er Nørrebro ved at gå til i en uhellig alliance mellem den yderste venstrefløj, indvandrerbander og radikale muslimer? Først da Rasmus Paludan ramte den plagede københavnske bydel, gik det galt. #Nørrebro #dkkrim #dkpol #KriminelleUdlændinge",negative
14,"Jeg ser på en udtalelse fra i går; deres spil Vampyr har solgt over 1 mil, samt deres publisher Focus Home Interactive har fornyet en kontrakt med DONTNOD. Det ser ud til, at selskabet er ved at skabe lidt momentum",positive
15,Læs et uddrag fra mandagens døgnrapport her. #politidk,neutral
16,"Ligesom din tolkning er bekvæm..
Det er hårdt at skulle se i øjnene, at dem vi troede skulle passe på os, gør det modsatte. Det er børnelærdom at poliet beskytter os, derfor svært at tro når de ikke gør.",negative
17,"Det er imponerende, at Rojo kigger tilbage på Anderson to gange, inden Anderson helt udækket kan prikke bolden i mål. Lad mig gætte på at han ikke er på Old Trafford efter sommerpausen. #pldk",negative
18,Men det er da så ugennemtænkt med den tekst ift produktet? Her kan du læse om animalske produkter i vin,negative
19,"Liverpool er selvsagt klasser bedre end Huddersfield, men Keita blir en kæmpe profil næste sæson. Sammen med Alex Oxlade-Chamberlain kan det blive en voldsom midtbane #pldk",positive
20,"Jaa, det glæder jeg mig også til! Det er en luksus at have så gode folk omkring sig 👏",positive
21,Ny rapport: Als-Fyn bro kan blive stor gevinst for Syd- og Sønderjylland,positive
22,"Hvis du har 5 DBs på banen, skal dine LBs stadig gøre rigtigt meget i kastespillet, da NFL-angrebene strækker på alle leder og kanter, og TEs og RBs er super atletiske. Nickel har været det nye base i flere år, og dårlige LBs i opdækningen har kostet dyrt de sidste par år",neutral
23,"

Jeg håber det er ventetiden værd. (Y)

God weekend.

Vh/ Michael",positive
24,"Blev gravid og aflyste i 2018: Nu vender rapper tilbage som hovednavn på Roskilde Festival,",neutral
25,"Skønne notre dame - håber det kan repareres og ikke bryder sammen. 
Ingen døde pt.",positive
26,Der er alt for meget at komme efter i den norske (og danske) undergrund!,neutral
27,"Uha, nu sætter du min Bundesliga-viden på prøve. Jeg har kun set dem, når de har spillet europæisk. Men jo, der er det i hvert fald mest Werner, der er den bevægelige af de to, mens Yussuf befinder sig mest centralt.",neutral
28,"Første krise hos lufthavns-korrespondenten her i Istanbuls nye lufthavn: Jeg eksisterer ikke. 
Lover at opdatere, hvordan dramaet ender inden længe.",neutral
29,"Hva bunner uviljen i mot å analysere islamistenes ideologi? Er det for store likheter med mainstream Islam? Påskens ofre. Skal gerningsmændene hurtigt fanges og straffes, må vi også udpege ideologien, der har drevet dem. D | Weekendavisen",negative
30,Eller fordi det er godt at se hvor dårligt livet var før i tiden. De gode gamle dage findes ikke,negative
31,"En perfekt men lidt kølig dag til en løbetur. Og de sagde i vejrudsigten, at der er chance for, at bøgen snart springer ud 😁 Pssst: Jeg har fødselsdag 17. juni, 😁 #dkpol",positive
32,DF vil forbyde skolegang hvis opholdstilladelsen ryger,negative
